USER_ID,EVENT_TIME,GROUP_TYPE,LANDING_PAGE,CONVERTED
731207,2017-01-16 02:52:31.979,treatment,new_page,0
643834,2017-01-23 19:47:09.078,control,old_page,0
859104,2017-01-23 22:08:39.261,control,old_page,1
758700,2017-01-03 22:00:00.881,treatment,new_page,0
895292,2017-01-21 02:42:07.494,control,old_page,1
768238,2017-01-05 07:22:34.052,treatment,new_page,0
717742,2017-01-22 06:25:43.411,control,old_page,0
830508,2017-01-03 23:05:39.941,treatment,new_page,0
755026,2017-01-09 12:21:47.262,treatment,new_page,0
909262,2017-01-15 10:32:17.986,treatment,new_page,0
648923,2017-01-12 06:16:50.925,treatment,new_page,0
653534,2017-01-08 14:32:48.437,treatment,new_page,0
748610,2017-01-08 23:33:23.252,treatment,new_page,0
709188,2017-01-14 10:43:19.786,control,old_page,1
774039,2017-01-11 23:42:38.374,treatment,new_page,0
848294,2017-01-07 00:07:20.568,treatment,new_page,0
676529,2017-01-16 03:43:11.943,control,old_page,0
798367,2017-01-07 19:48:37.913,control,old_page,0
830950,2017-01-05 18:45:04.282,treatment,new_page,0
689326,2017-01-09 21:48:21.765,treatment,new_page,0
665665,2017-01-18 01:40:49.317,control,old_page,0
775365,2017-01-05 03:48:45.764,treatment,new_page,0
707333,2017-01-16 19:04:54.034,control,old_page,0
634300,2017-01-19 18:13:47.249,control,old_page,0
909389,2017-01-08 16:18:59.756,treatment,new_page,0
870293,2017-01-23 06:09:58.330,treatment,new_page,0
692934,2017-01-02 19:49:23.833,treatment,new_page,0
917928,2017-01-20 00:00:24.242,treatment,new_page,0
784753,2017-01-18 04:39:39.114,control,old_page,1
819348,2017-01-23 03:23:58.224,treatment,new_page,0
659677,2017-01-02 19:46:59.283,treatment,new_page,1
673258,2017-01-06 06:17:13.856,control,old_page,0
928812,2017-01-20 12:38:59.763,treatment,new_page,0
754644,2017-01-07 09:03:01.293,treatment,new_page,0
817753,2017-01-13 10:24:26.028,treatment,new_page,0
734115,2017-01-09 13:45:22.930,control,old_page,0
831715,2017-01-17 13:03:03.762,treatment,new_page,1
824277,2017-01-16 04:52:56.845,treatment,new_page,0
633879,2017-01-03 11:39:55.683,treatment,new_page,0
878820,2017-01-24 11:41:59.758,control,old_page,1
854308,2017-01-02 13:54:18.859,control,old_page,1
657130,2017-01-19 23:41:14.395,treatment,new_page,1
727061,2017-01-09 22:29:44.563,treatment,new_page,0
779137,2017-01-19 02:24:44.932,control,old_page,0
752199,2017-01-08 05:42:56.152,treatment,new_page,0
934341,2017-01-08 12:40:11.998,treatment,new_page,0
894768,2017-01-03 06:59:19.644,control,old_page,0
663025,2017-01-14 20:31:50.345,treatment,new_page,0
872464,2017-01-03 00:05:33.770,treatment,new_page,0
795403,2017-01-05 04:10:28.809,treatment,new_page,0
761395,2017-01-23 01:51:47.316,control,old_page,0
775676,2017-01-03 15:58:58.269,treatment,new_page,0
798320,2017-01-20 17:32:04.256,control,old_page,0
920523,2017-01-07 08:06:45.573,treatment,new_page,0
726669,2017-01-03 23:35:09.331,control,old_page,0
632490,2017-01-12 08:41:40.966,control,old_page,0
751500,2017-01-13 13:11:01.710,control,old_page,0
823241,2017-01-19 22:05:16.639,treatment,new_page,0
674962,2017-01-15 17:52:21.585,control,old_page,0
755045,2017-01-19 16:11:11.278,treatment,new_page,0
847575,2017-01-12 00:55:53.677,treatment,new_page,0
780117,2017-01-10 03:07:40.993,treatment,new_page,0
841933,2017-01-18 01:43:40.172,treatment,new_page,0
906707,2017-01-11 22:10:31.719,control,old_page,0
909354,2017-01-12 23:20:08.496,treatment,new_page,0
772919,2017-01-23 01:47:13.293,treatment,new_page,0
891744,2017-01-08 23:09:21.658,control,old_page,0
704773,2017-01-15 13:47:05.675,control,old_page,0
759168,2017-01-03 21:08:40.993,control,old_page,0
812128,2017-01-15 04:03:41.818,treatment,new_page,0
816645,2017-01-13 05:44:57.168,control,old_page,0
714730,2017-01-09 13:54:10.067,control,old_page,1
889480,2017-01-09 23:20:40.679,treatment,new_page,1
911561,2017-01-22 04:23:22.453,treatment,new_page,0
888200,2017-01-18 05:35:00.410,treatment,new_page,0
895039,2017-01-16 09:33:18.210,control,old_page,0
671007,2017-01-17 19:26:38.329,control,old_page,0
782635,2017-01-13 07:47:24.392,control,old_page,0
861732,2017-01-05 20:46:36.302,control,old_page,0
915897,2017-01-11 23:40:05.774,treatment,new_page,0
827184,2017-01-19 10:39:41.585,treatment,new_page,0
802527,2017-01-17 03:21:34.469,treatment,new_page,0
726963,2017-01-08 04:41:28.064,treatment,new_page,0
747237,2017-01-11 17:51:25.325,treatment,new_page,1
838361,2017-01-04 01:07:36.908,treatment,new_page,0
736413,2017-01-18 04:15:45.536,control,old_page,0
836023,2017-01-17 18:10:58.853,treatment,new_page,1
881882,2017-01-04 01:23:03.931,treatment,new_page,0
819990,2017-01-18 04:45:33.423,treatment,new_page,0
768027,2017-01-16 14:42:33.490,control,old_page,0
662631,2017-01-13 01:09:36.585,control,old_page,0
908546,2017-01-22 13:11:38.486,control,old_page,0
918453,2017-01-18 11:11:17.865,control,old_page,0
796533,2017-01-13 07:35:35.941,control,old_page,0
888856,2017-01-07 08:53:50.523,treatment,new_page,0
857317,2017-01-05 22:08:08.437,treatment,new_page,1
689390,2017-01-24 10:37:37.017,treatment,new_page,0
909685,2017-01-18 04:31:34.976,control,old_page,0
895870,2017-01-20 23:50:18.296,treatment,new_page,0
712756,2017-01-15 15:48:33.557,treatment,new_page,1
780220,2017-01-13 17:27:11.349,treatment,new_page,0
656388,2017-01-22 03:26:03.426,control,old_page,0
852225,2017-01-21 19:13:05.469,control,old_page,0
731064,2017-01-05 17:51:48.659,treatment,new_page,0
640491,2017-01-21 22:24:23.668,control,old_page,0
783964,2017-01-10 11:41:47.019,control,old_page,0
920413,2017-01-09 16:41:25.758,treatment,new_page,0
751523,2017-01-16 07:56:42.159,control,old_page,0
901909,2017-01-16 13:29:04.661,control,old_page,0
725103,2017-01-09 14:27:43.299,control,old_page,0
738183,2017-01-19 03:12:09.861,treatment,new_page,0
814537,2017-01-22 17:07:07.372,treatment,new_page,1
896962,2017-01-08 16:55:24.330,control,old_page,0
728525,2017-01-14 01:15:21.861,control,old_page,0
777109,2017-01-17 02:10:20.771,control,old_page,0
780087,2017-01-04 11:31:55.780,control,old_page,0
790053,2017-01-09 14:19:36.622,control,old_page,0
879267,2017-01-03 23:33:54.408,treatment,new_page,0
907902,2017-01-16 00:50:14.833,control,old_page,0
923036,2017-01-03 05:03:26.059,control,old_page,0
783382,2017-01-10 05:32:05.964,treatment,new_page,0
751300,2017-01-09 09:04:08.878,control,old_page,0
667508,2017-01-23 08:06:16.015,control,old_page,0
749143,2017-01-11 16:13:31.719,treatment,new_page,0
728350,2017-01-14 22:37:22.275,control,old_page,0
648473,2017-01-06 18:34:27.977,control,old_page,0
724380,2017-01-08 07:37:56.092,treatment,new_page,0
942138,2017-01-15 18:28:59.840,control,old_page,0
858876,2017-01-14 04:13:32.404,treatment,new_page,0
736020,2017-01-20 05:44:31.221,treatment,new_page,0
781106,2017-01-21 12:22:13.958,treatment,new_page,0
944110,2017-01-09 21:00:19.319,treatment,new_page,0
825525,2017-01-23 23:04:43.591,treatment,new_page,0
904296,2017-01-07 20:55:25.770,treatment,new_page,0
655666,2017-01-22 12:55:31.679,control,old_page,0
858749,2017-01-20 13:53:42.400,treatment,new_page,0
711570,2017-01-14 17:44:52.698,control,old_page,0
689419,2017-01-09 19:50:30.281,treatment,new_page,0
767111,2017-01-20 21:30:32.555,treatment,new_page,0
769044,2017-01-13 06:15:57.178,control,old_page,0
663227,2017-01-03 14:56:23.024,treatment,new_page,1
831310,2017-01-07 14:39:44.295,control,old_page,0
660842,2017-01-03 00:26:05.526,control,old_page,1
852125,2017-01-03 20:50:27.030,treatment,new_page,0
648936,2017-01-07 11:46:00.159,treatment,new_page,0
657472,2017-01-06 14:02:52.671,treatment,new_page,0
876308,2017-01-24 01:54:05.035,control,old_page,0
687848,2017-01-09 02:42:10.939,treatment,new_page,0
913261,2017-01-06 14:29:44.125,control,old_page,0
798923,2017-01-06 07:47:32.018,control,old_page,0
828385,2017-01-20 16:52:09.580,control,old_page,1
899698,2017-01-10 21:28:25.834,control,old_page,0
671140,2017-01-21 12:17:24.962,control,old_page,1
799922,2017-01-06 22:47:57.793,control,old_page,0
720376,2017-01-06 03:42:03.646,control,old_page,1
838757,2017-01-04 15:42:00.516,treatment,new_page,0
743294,2017-01-11 16:04:44.095,control,old_page,0
718516,2017-01-07 23:41:14.570,control,old_page,0
891588,2017-01-09 12:27:22.126,treatment,new_page,0
813928,2017-01-22 12:59:39.654,treatment,new_page,1
866543,2017-01-20 10:17:27.173,treatment,new_page,0
773619,2017-01-24 08:28:57.835,control,old_page,0
708468,2017-01-06 22:53:39.200,treatment,new_page,0
723766,2017-01-10 18:23:13.800,treatment,new_page,0
658618,2017-01-14 11:19:13.352,control,old_page,1
796179,2017-01-07 07:10:50.695,control,old_page,0
788285,2017-01-20 00:59:18.417,treatment,new_page,0
907375,2017-01-17 01:36:30.866,treatment,new_page,0
771649,2017-01-23 16:39:01.998,control,old_page,0
670711,2017-01-22 09:06:37.090,control,old_page,0
647382,2017-01-06 17:44:04.892,treatment,new_page,0
777490,2017-01-08 20:36:23.186,control,old_page,0
711346,2017-01-04 18:25:28.739,control,old_page,0
662308,2017-01-22 10:10:40.578,treatment,new_page,0
795670,2017-01-09 00:32:32.321,control,old_page,0
687990,2017-01-15 05:45:10.353,control,old_page,0
837596,2017-01-22 20:26:54.293,control,old_page,0
769767,2017-01-07 17:11:13.079,treatment,new_page,0
865730,2017-01-04 12:14:43.378,treatment,new_page,0
724644,2017-01-16 02:11:14.955,control,old_page,0
866157,2017-01-19 02:39:37.432,treatment,new_page,0
871817,2017-01-15 05:07:23.789,treatment,new_page,0
871209,2017-01-04 09:22:07.454,treatment,new_page,0
895931,2017-01-03 08:44:04.229,control,old_page,0
732241,2017-01-19 09:41:41.976,control,old_page,0
692660,2017-01-18 03:43:29.089,treatment,new_page,0
774590,2017-01-09 05:34:08.012,control,old_page,0
895427,2017-01-10 13:09:16.851,treatment,new_page,0
940196,2017-01-07 13:33:18.243,treatment,new_page,0
648111,2017-01-04 07:24:59.730,control,old_page,0
800419,2017-01-03 03:00:01.590,control,old_page,0
719005,2017-01-18 11:46:05.647,treatment,new_page,0
660852,2017-01-05 22:51:21.254,treatment,new_page,0
775908,2017-01-09 21:43:40.523,treatment,new_page,1
674287,2017-01-11 07:51:23.429,control,old_page,1
812545,2017-01-24 10:23:02.517,control,old_page,0
845185,2017-01-12 08:29:00.759,treatment,new_page,0
736728,2017-01-21 12:21:31.034,treatment,new_page,0
647881,2017-01-13 08:07:18.107,control,old_page,0
872234,2017-01-17 09:02:59.186,control,old_page,0
707304,2017-01-08 20:21:22.629,treatment,new_page,0
770955,2017-01-03 01:10:41.614,control,old_page,0
732373,2017-01-08 00:14:14.053,treatment,new_page,0
879540,2017-01-17 05:14:50.987,treatment,new_page,0
645579,2017-01-13 11:40:53.135,control,old_page,0
823001,2017-01-22 10:59:07.526,control,old_page,0
922533,2017-01-20 12:07:55.771,control,old_page,0
800985,2017-01-10 07:29:25.702,control,old_page,0
896805,2017-01-11 14:17:10.511,control,old_page,0
714735,2017-01-20 14:52:41.784,control,old_page,1
896284,2017-01-21 00:43:00.429,control,old_page,0
705588,2017-01-13 19:45:34.528,control,old_page,0
